country,partial_area_ha
Algeria,28299600
Angola,14562000
Argentina,92872800
Belize,572400
Benin,7153200
Bolivia,19022400
Botswana,11970000
Brazil,229226400
Burkina Faso,24476400
Burundi,975600
Cameroon,10076400
Central African Republic,10270800
Chad,39906000
Chile,18108000
Colombia,23713200
Costa Rica,2286000
Cuba,8413200
Cyprus,601200
Democratic Republic of the Congo,38566800
Djibouti,7200
Dominican Republic,3067200
Ecuador,7610400
Egypt,6235200
El Salvador,1299600
Equatorial Guinea,190800
Eritrea,5364000
Ethiopia,47394000
France,72000
Gabon,2199600
Gambia,1339200
Ghana,15948000
Greece,1026000
Guatemala,6145200
Guinea,8510400
Guinea Bissau,1846800
Guyana,1094400
Haiti,1054800
Honduras,5914800
Iran,33404400
Iraq,18320400
Israel,1926000
Italy,972000
Ivory Coast,19728000
Jamaica,507600
Jordan,1249200
Kenya,37616400
Kuwait,154800
Lebanon,1116000
Lesotho,2127600
Liberia,3888000
Libya,2415600
Madagascar,53791200
Malawi,4762800
Mali,38077200
Mauritania,9190800
Mexico,23234400
Morocco,27997200
Mozambique,16376400
Namibia,16434000
Nicaragua,6620400
Niger,29473200
Nigeria,71992800
Northern Cyprus,396000
Panama,3222000
Paraguay,15951600
Peru,9036000
Portugal,669600
Qatar,21600
Republic of Congo,8431200
Rwanda,1623600
Saudi Arabia,2174400
Senegal,13456800
Sierra Leone,6001200
Somalia,14868000
Somaliland,2858400
South Africa,35067600
South Sudan,6552000
Spain,4964400
Sudan,59724000
Suriname,255600
Swaziland,1508400
Syria,10314000
The Bahamas,86400
Togo,4244400
Trinidad and Tobago,201600
Tunisia,8186400
Turkey,15202800
Uganda,15868800
United Republic of Tanzania,33620400
United States of America,56750400
Uruguay,9036000
Venezuela,27201600
Yemen,2786400
Zambia,22539600
Zimbabwe,29311200